"","0","216000","540000","972000","0 | 1","216000 | 1","540000 | 1","972000 | 1","0 | 2","216000 | 2","540000 | 2","972000 | 2"
"intF",89.5,302.8,275.3,107,221.9,391.3,229,309.2,47.9,66.8,183.3,153.1
"yagP",55,148.6,92.5,160.7,140.3,250.4,137.9,228.3,10.3,13.6,68.7,57.9
"paoD",19,24.4,29.2,116.9,27.3,38.3,48.6,42.7,5.7,8.6,47.3,23.2
"paoC",40.3,203.1,445.1,641.5,109.8,321.6,191.9,292.9,11,13.2,188.7,58
"paoB",99.7,188.6,411,338.5,82.2,255.3,367.8,273,37,25.4,135.9,65.7
"paoA",37.9,51.3,526.6,527.6,133,280.8,195.8,343.5,10.6,23.2,117.8,50
"yagU",428.6,380.9,1226.6,521.9,201,89.6,332.3,254.2,65.7,119.2,172.2,158.6
"ykgJ",170.3,199.9,153.3,202,161.6,376.2,104.8,88,52.6,39.6,79.1,58.1
"ecpE",106.8,124.7,192.7,170.2,95.5,177.1,245,62.9,43.8,58.7,89.1,68.7
"ecpD",239,290.6,313,508.1,319.1,504.5,551.3,261.3,78.8,109.9,129.9,78.8
"ecpC",83.9,234.2,209.1,113.3,134.9,236.4,26.7,29.1,26.8,17.1,28.1,3.9
"ecpB",113.5,140.4,71.9,102.7,64.5,65.6,32.7,26.4,28.6,17.2,24.3,3.3
"ecpA",220.9,169.9,245.1,238.4,211.7,70.3,161.9,233.2,41.4,52.8,57.8,22.1
"matA",74.4,121.3,55.1,149.8,27.7,78.5,10.1,20.1,3.9,9.2,3.8,1.2
"ykgL",117.3,102.1,90.2,99,196.4,163.2,30.9,128.2,28.5,21.9,39.4,32.9
"ykgM",119.8,84.6,89.6,51.8,102.1,158.4,6.1,13.6,14.5,16.7,28.4,21.2
"eaeH",219.9,193,232.4,382.8,268.6,479,224.9,265.2,110.9,36.4,173.9,74.2
"ykgA",96.8,123,147.9,90.5,93.7,110.9,123,145.3,28.2,26.9,79,53
"rclC",310.3,229.3,331.2,187.8,277.9,231.2,237.4,233.2,71.1,37.3,115.3,49.3
"rclB",146.7,65,96,47,60.9,71.3,52,65.1,7.1,9.5,16.3,15.4
"rclA",95.9,207.3,1243.2,390.1,122.3,452.8,601.4,353.9,55.6,34.5,297.1,91.1
"rclR",188.5,152.3,311.1,324.8,127.9,596.8,200.9,187.2,27.6,48.7,149,91.3
