"","0","300","300 | 1","300 | 2","3300","3300 | 1","3300 | 2","2100","0 | 1","0 | 2","0 | 3","300 | 3","300 | 4","300 | 5","3300 | 3","3300 | 4","3300 | 5","2100 | 1"
"nfo",9.392801765,9.203053955,9.340334791,9.066283763,9.111241133,9.090624509,9.540202758,9.244212621,9.145858957,9.310032856,9.479349322,9.098062698,9.021081596,9.376025518,9.246747191,9.151028092,9.242324274,9.111308513
"nadE",10.35705638,10.01709025,10.15913133,10.28097868,9.832419328,10.05493287,10.2258039,10.03887831,10.56362239,10.39701384,10.58129699,10.15725434,10.30925419,10.57288141,10.04093914,10.38095674,10.0306275,10.15580551
"bssS",9.866959281,9.160935009,9.80533051,10.83803634,8.401493106,8.803403066,8.991282906,8.331162954,9.366355279,9.311579629,9.553477938,9.293729581,10.02862725,10.55820138,8.496401437,8.531625906,9.041011243,9.212100686
"gor",11.1155183,11.00432507,11.18774188,10.83544853,10.69557748,10.8891805,10.68983428,11.04171644,10.93214736,10.94567249,11.12849532,10.98870344,11.10456872,10.84446528,11.04373025,10.85153281,10.80490109,10.80474592
"bdcR",8.2977368,7.117941065,7.83447842,7.865008891,7.277626744,7.472986281,8.110695783,7.351869941,8.174648497,8.352023511,8.454584553,7.851916517,8.273550825,8.455473102,7.248536841,7.770158162,7.253614096,7.162642571
"recQ",9.175677497,8.893483065,9.063387297,8.952524593,8.870863508,8.888675067,9.094002978,8.397765976,8.863163993,9.209181243,9.107826506,8.676417624,8.740234197,8.89929008,9.277906267,9.244112011,9.123507466,7.892108086
"yhcG",3.955678221,4.255140097,4.451806034,4.359107696,3.748909705,3.788183703,3.724375788,3.601510254,3.990146804,3.917057092,4.312547198,4.216970822,4.374902667,3.853882547,3.694048739,3.824926737,3.952435533,3.266691426
"yqiG",5.772504989,5.977105862,6.149431864,6.215612339,6.009658217,5.613814709,5.486070955,5.367575455,6.230591528,5.737527528,5.721635589,5.952669583,5.969759775,6.072859839,5.629589827,5.813100933,5.570674927,5.851153074
"yegR",5.733564837,5.178711903,5.390033977,5.518875137,5.438805844,5.872802767,5.814471451,5.438051029,5.322045331,5.592827022,5.96169954,5.477370336,5.989687909,5.800450594,5.525177453,5.551345677,5.680406617,5.419039663
"metH",8.068261494,7.978121902,8.025173681,7.829871,8.386498883,8.090682641,8.214112978,8.419477243,8.283238877,8.044958746,8.336058717,8.227484615,7.973293241,7.83200483,8.479619173,8.565733131,8.192637941,7.959524998
"fsr",7.238344154,6.683533129,7.166633742,6.844525718,6.384931322,6.267896595,6.503163144,6.838543444,6.986754411,6.776400104,7.410129317,6.761965608,6.769956257,7.19394703,6.730481174,6.410695669,5.899430678,6.149773362
"mioC",11.27949006,11.04330117,11.00891544,11.3148209,10.96882148,11.17250185,10.86603681,10.2196733,10.98392471,10.92645013,11.15338554,11.05838709,11.18504952,11.08025372,10.70897959,10.74742011,10.96611105,9.996339451
"mukE",11.59253133,11.49671314,11.46717738,11.63860139,11.23585035,11.23104914,11.3082148,11.23725246,11.63544578,11.5760427,11.64706438,11.50514458,11.52797027,11.4956076,11.13022208,11.32213307,11.22821199,10.9700472
"aroB",12.03314175,12.14888624,12.09244645,11.91797714,11.70239513,11.89809183,11.9020813,11.61303888,11.97987821,12.08173895,12.15935651,12.05245721,12.01916141,11.99642603,11.9209609,11.9664905,11.89208108,11.2555208
"yciN",11.4439281,11.04500727,11.62087379,11.50388456,10.98361009,11.48846153,11.33244626,11.05138024,11.21642449,11.16976137,11.23193755,11.18281719,11.73220608,11.53296557,10.47626647,10.77718497,11.18975599,10.83717302
"marR",9.160936045,8.727577101,8.791269226,9.256665098,8.138738553,8.467993291,8.896245391,8.51961789,8.868422563,9.032229386,9.218291813,9.031493464,9.109932799,9.527079659,7.995416896,8.381444421,8.566958699,8.733307265
"gutM",5.425121253,4.606396319,5.913744933,5.497215561,7.053400885,5.897346904,6.360227865,9.095028127,5.144273107,5.068255785,5.770205255,5.079830644,6.604278839,5.336938345,7.895778505,6.938563944,6.095232324,7.45606776
"yhdZ",6.542432358,6.70158246,6.545053526,6.634494107,6.358508789,6.785238714,6.621468171,6.882291675,6.268113082,6.062479591,6.929993775,6.641838619,6.731306492,6.5024886,6.664716564,6.437154604,6.303992129,6.671457154
"ybiB",8.320414739,7.10793894,7.974216395,8.035708963,7.17373789,7.642171832,8.617333327,8.199581203,8.248076951,8.268320476,8.649352536,7.399977972,7.941917434,8.364252068,7.374100936,7.813418793,7.793573321,8.220540803
"zwf",11.58740937,11.37681564,11.52625364,11.56020518,10.97543375,11.04064397,11.301658,11.18399655,11.68987342,11.72873657,11.66902618,11.41305439,11.46722294,11.71668167,10.9166874,11.2802708,11.33651868,11.51621771
