"","0","300","600","900","0 | 1","300 | 1","600 | 1","900 | 1","0 | 2","300 | 2","600 | 2","900 | 2","0 | 3","300 | 3","600 | 3","900 | 3"
"insA3",0.16,0.2,0.16,0.33,-0.3,0.22,-0.05,-0.03,0.46,0.72,0.35,0.22,-0.18,-0.07,-0.31,0.4
"yagJ",-0.32,1.06,0.09,-0.06,0.5,-0.26,-0.15,0.52,-0.41,-0.52,-0.19,0.06,-0.02,0.26,-0.32,-0.12
"yagK",-0.05,0.4,-0.3,-0.06,0.09,-0.12,-0.25,0.41,-0.21,-0.24,-0.26,-0.12,-0.28,-0.03,-0.12,-0.19
"yagL",-0.12,-0.35,0.25,-0.19,0.14,-0.01,-0.16,-0.13,0.01,0.17,0.21,0.1,0.14,0.1,-0.01,-0.04
"yagM",-0.22,0.21,-0.01,0.06,0.08,0.14,-0.02,0.22,-0.1,0.1,0.02,0.1,0.22,-0.05,-0.21,-0.09
"yagN",-0.68,-0.44,-0.99,-0.14,-0.35,-0.28,-0.78,-0.48,-0.85,-0.64,-0.38,0,-0.53,-0.58,-0.35,0.05
"intF",0.19,0.19,0.29,-0.11,-0.04,0.37,0.34,0.34,-0.48,-0.7,-0.27,0.44,-0.13,-0.21,-0.07,-0.04
"yagP",0.2,-0.24,0.22,0.41,-0.08,0.15,0.07,0.18,0.27,0.36,0.24,0.16,0.03,0.11,0.09,0.31
"paoD",0.3,0.37,0.03,0.31,0.11,-0.16,0.39,0.44,-0.12,-0.11,-0.35,-0.02,-0.01,0.12,0.5,-0.04
"paoC",-0.19,-0.13,0.02,0.56,-0.15,0.16,0.05,-0.46,-0.18,-0.13,-0.36,-0.25,-0.02,0.06,-0.32,0.09
"paoB",0,-0.12,-0.46,0.14,0.15,-0.06,0.16,-0.02,-0.07,-0.18,-0.23,-0.12,-0.01,-0.31,0.1,-0.13
"paoA",-0.24,-0.23,-0.41,0.45,0.36,0.02,-0.03,0.62,-0.12,-0.15,-0.36,-0.21,-0.36,-0.37,-0.13,-0.16
"yagU",-0.81,-1.2,-0.57,-0.12,-0.41,-1.5,-1.86,-1.02,-0.49,-1.25,-1.46,-0.23,-0.38,-0.17,-0.39,-0.34
"ykgJ",0.12,0.32,-0.17,0.06,0.16,0.21,0.94,0.5,0.15,0.26,0.6,0.28,-0.19,-0.09,0.22,0.07
"ecpE",-0.02,-0.14,-0.01,0.61,-0.1,-0.07,-0.02,0.31,-0.16,-0.11,-0.23,-0.28,0.03,-0.15,0,0.17
"ecpD",0.01,0.32,0.05,0.33,0.3,-0.01,0.15,0.72,-0.15,-0.02,-0.31,-0.12,-0.2,-0.11,-0.13,-0.08
"ecpC",-0.26,-0.39,0.07,0.01,-0.23,-0.17,-0.02,0.2,-0.31,-0.28,-0.05,0,0.27,0.1,-0.29,-0.03
"ecpB",-0.06,0.36,-0.21,0.07,0.06,-0.16,-0.41,0.7,-0.25,-0.2,-0.05,-0.09,-0.04,-0.01,-0.04,0.01
"ecpA",-0.06,-0.05,-0.13,-0.22,0.05,0.09,0,0.32,-0.21,-0.42,-0.22,-0.07,0.01,-0.13,-0.33,-0.18
"matA",-0.11,-0.45,-0.19,-0.35,0,0.02,-0.61,-0.07,-0.38,-0.15,0.1,-0.16,0.12,0.44,0.14,-0.15
"ykgM",-0.02,-0.35,0.1,0.2,0.15,0.08,0.08,0.67,0.06,0.08,0.45,0.53,0.05,0.15,0.06,0.27
"eaeH",0.14,0.07,0.39,0.27,0.13,0.23,0.04,0.07,-0.17,0.04,-0.16,-0.06,0.56,-0.04,-0.01,0.03
"insE1",-0.21,0.08,0.09,-0.09,0.08,0.1,-0.04,0.21,-0.13,-0.16,0.02,0.14,0.26,0.03,-0.31,-0.14
"insF1",-0.26,-0.16,-0.11,-0.2,-1.12,-0.49,-1.11,-0.88,-0.1,0.02,0.02,0.14,-0.26,0,-0.12,0.07
"ykgA",-0.15,-0.09,-0.59,0.02,0.16,-0.12,-0.12,0.17,-0.2,0.06,-0.19,0.04,0.11,-0.27,0.09,-0.03
"rclC",-0.09,0.45,-0.09,0.11,0.31,0.03,0.23,0.38,-0.16,-0.2,-0.17,-0.05,-0.09,-0.06,-0.26,-0.06
"rclB",-0.11,0.72,-0.13,0.16,0.06,-0.04,0.03,0.4,-0.25,-0.2,-0.02,-0.53,0.02,-0.02,0.06,-0.12
"rclA",-0.28,-0.35,-0.52,-0.13,0.05,-0.08,-0.54,-0.57,-0.16,-0.22,-0.26,-0.49,-0.02,-0.02,-0.07,-0.21
"rclR",-0.06,-0.04,0.23,0.04,-0.01,0.03,-0.07,0.29,-0.11,-0.07,-0.2,0.06,-0.17,0.17,-0.03,-0.07
"ykgE",-0.34,0.11,-0.04,-0.13,0.34,-0.11,-0.18,0.2,-0.3,-0.42,-0.38,-0.13,-0.05,-0.05,-0.28,-0.53
"ykgF",-0.19,-0.32,-0.62,0.1,-0.14,-0.03,-0.23,0.07,-0.23,-0.39,-0.37,-0.61,0.12,-0.04,0.16,0.35
"ykgG",0.29,0.07,0.21,0.56,0.33,-0.28,0.31,0.74,-0.29,-0.47,-0.59,-0.7,0.08,-0.08,0.4,0
"ykgH",0.48,0.5,0.42,0.2,0.03,-0.18,0.35,0.6,-0.11,-0.07,-0.09,-0.16,0.08,-0.12,0.04,0.06
"betA",0.14,0.47,0.36,0.18,0.3,0.26,0.31,0.69,0.12,0.05,0.01,0.17,-0.26,0.01,0,-0.05
"betB",0.26,0.49,0.73,0.62,-0.01,0.28,0.19,-0.61,0.07,-0.47,-0.33,-0.11,-0.27,-0.05,0.01,-0.43
"betI",0.01,0.19,0.64,0.15,0.18,0.02,0.22,-0.07,-0.03,-0.53,-0.64,-0.2,-0.39,-0.46,-0.52,-0.16
"betT",-0.09,0.39,0.12,0.88,0.35,-0.15,0.01,0.49,0,-0.09,-0.13,0.01,0.12,0.15,-0.12,-0.14
"pdeL",-0.37,-0.83,-0.39,-0.15,-0.29,-0.28,-0.84,-0.68,-0.11,-0.01,-0.16,0.09,0.27,0.35,-0.04,0.12
