"","0","0 | 1","0 | 2","0 | 3","0 | 4","21600","21600 | 1","21600 | 2","21600 | 3","21600 | 4"
"yciW",1.15,0.9416,1.0413,1.3978,1.5304,1.1734,1.3874,1.301,1.2866,1.5638
"yicG",1.8804,2.1517,1.4036,1.7239,1.4701,1.5316,1.4067,1.501,1.4373,1.3454
"ppsR",4.0728,4.0771,4.5139,4.3155,4.1636,4.3196,3.9026,4.269,3.7525,4.0667
"sutR",1.4734,1.4887,1.5217,1.554,1.8125,1.7195,1.5716,1.7988,1.5065,1.428
"lpxB",4.1202,4.0574,4.0937,3.8174,3.9412,4.2929,4.0518,4.1107,4.112,4.0905
"napD",2.4031,2.3491,2.8799,3.3494,3.2734,3.2929,3.32,3.0821,3.2863,3.1652
"uxuB",3.2078,3.1828,3.2524,3.337,3.2532,2.9957,3.5322,3.2415,3.4745,3.432
"yfeY",3.859,4.0728,4.5845,4.2727,3.9531,4.2198,3.8831,3.8683,3.9459,3.9782
"yibF",2.7913,2.754,2.5184,2.7472,2.6299,2.767,2.7331,2.742,2.7167,2.8443
"metC",2.1061,2.0957,2.7174,2.0201,2.0573,2.0261,2.3228,1.9168,2.3986,2.2862
"sbmA",4.1805,4.3673,3.5393,3.7065,3.7852,4.0652,4.0853,4.0344,3.7268,3.9352
"sucB",8.214,8.3564,8.4838,8.1311,8.1311,8.3564,8.214,8.3564,8.1675,8.214
"leuL",3.3729,3.2327,2.9989,3.5261,3.5275,3.9654,3.3743,2.971,3.3222,3.4327
"sppA",4.4629,4.4125,4.1715,3.7648,4.1781,4.1918,4.4008,4.4312,4.3234,4.1444
"pabA",1.7475,1.5438,2.1274,1.8708,1.9409,1.5781,1.7508,1.8089,1.7157,1.8682
"pdeK",2.1702,2.1901,1.7696,2.019,2.0957,1.6952,2.4322,2.0089,2.3042,2.4233
"flhC",2.1238,2.2,2.2311,2.1868,2.1353,2.2169,2.1739,2.2519,2.2394,2.0303
"yqeC",3.32,3.2594,2.3329,3.6028,3.3486,3.2036,3.3975,3.337,3.3453,3.5133
"speD",3.5693,3.173,3.5261,2.7632,3.1768,2.6622,3.9251,3.0725,3.8055,3.8302
"yedJ",2.2406,2.54,2.544,2.2987,2.2434,2.8211,2.0642,2.4041,2.0869,2.1868
"obgE",4.4918,4.5182,4.5273,4.347,4.629,4.2637,4.388,4.444,4.4918,4.4468
