
tf,tg,kd
csgD,atoD,3.06723062813816
csgD,atoB,2.6314614188794128
csgD,glpA,1.8521728554900854
csgD,lrhA,1.661527885745178
csgD,yfbU,2.5953569312840914
csgD,ackA,3.130473457098776
csgD,aroC,3.019469539591285
csgD,yfdF,2.2651698424347857
csgD,intS,1.131755714344036
csgD,yfdR,2.896924627796258
csgD,dsdC,1.5650056257241636
csgD,yfdE,1.093680395173262
csgD,yfdV,3.0080352758757547
csgD,ypdC,3.3205130181180342
csgD,yffL,2.485802835033307
csgD,yffO,1.8676154935944025
csgD,yffB,2.1360618828735842
csgD,dapE,1.7677826792427416
csgD,pdeF,2.7607032337283766
csgD,der,2.2173545209579064
