"","0","0 | 1","0 | 2","3600","3600 | 1","3600 | 2","7200","7200 | 1","7200 | 2","10800","10800 | 1","10800 | 2","14400","14400 | 1","14400 | 2","18000","18000 | 1","18000 | 2","0 | 3","0 | 4","0 | 5","3600 | 3","3600 | 4","3600 | 5","7200 | 3","7200 | 4","7200 | 5","10800 | 3","10800 | 4","10800 | 5","14400 | 3","14400 | 4","14400 | 5","18000 | 3","18000 | 4","18000 | 5"
"puuR",13.018046,12.653556,12.380618,10.789002,9.938739,9.947022,10.973052,9.823083,9.886595,10.010952,9.937694,9.835654,10.270293,9.984349,9.881883,10.06457,10.066428,9.971551,12.760847,12.907142,13.037862,10.288134,10.299698,9.850999,10.16467,9.983584,10.202657,11.440266,10.312622,10.029295,10.11482,9.883016,9.762049,10.444102,9.136268,8.883914
"csgA",8.679219,8.843852,8.948375,8.540137,8.787669,8.774403,8.591983,8.456872,8.783522,9.295274,9.247014,9.242745,9.198048,9.189248,9.578737,9.337416,9.492595,9.59046,8.782366,8.718143,8.68981,8.468764,8.287967,8.170957,8.418594,8.374879,8.55201,8.540225,8.676036,8.695791,8.632765,8.612883,9.219663,8.600197,9.365862,9.962948
"csrD",11.06519,11.043719,10.69151,10.534645,10.421445,10.505094,10.755787,10.343506,10.189887,10.095364,10.03489,10.033155,10.142119,10.123985,10.223673,10.246373,10.289897,10.194636,11.064006,11.239227,11.248041,10.759195,10.659772,10.728752,10.669445,10.792159,11.007987,10.921416,10.70808,10.651805,10.83964,10.710647,10.814145,10.882277,10.67339,10.54085
"narQ",9.333957,9.693491,9.688556,9.387088,9.627211,9.805484,9.47653,9.942862,9.928324,9.622539,9.578913,9.366232,9.313198,8.843111,9.215201,9.279071,9.413971,9.259114,9.313022,9.643453,9.832446,9.712189,9.877374,10.09421,9.55887,9.903581,10.100217,9.241932,9.409285,9.496322,9.252804,9.527718,9.56848,9.145439,8.96644,8.959714
"ycfH",11.80022,11.701231,11.823079,12.075492,11.811336,11.841134,11.96912,11.469731,11.446506,11.267921,11.137969,11.205387,11.449556,11.47919,11.312139,11.228416,11.307741,11.184341,11.866224,11.850268,12.060934,11.890852,11.758686,11.609846,11.844717,11.615751,11.698188,11.749164,11.755908,11.706923,11.561121,11.665149,11.229076,11.613413,11.520665,11.297273
"damX",13.067749,13.165735,13.088096,13.44771,13.322599,13.316623,13.351176,13.158776,13.14294,12.903339,13.055289,13.167693,13.129516,13.179315,13.209033,13.184892,13.262358,13.203222,13.249237,13.248058,13.239734,13.515368,13.362646,13.386463,13.358166,13.223595,13.272189,13.154313,13.281216,13.277471,13.312341,13.326985,13.190454,13.156932,13.066371,13.120901
"fhuF",12.575044,12.100048,12.77798,14.257398,14.202086,14.184797,14.16835,14.061007,13.902574,13.394895,13.550874,13.68008,14.05034,14.07616,14.127819,13.923976,13.922995,13.80344,11.909508,11.47799,11.671075,14.203333,14.195344,14.106841,13.941659,13.682726,13.613857,13.428123,13.585634,13.625859,13.722386,13.774103,13.830017,13.429675,13.590814,13.812841
"flhB",7.170198,7.016819,7.090035,7.237724,7.394734,7.46299,7.21299,7.456783,7.534486,7.320596,7.450692,7.444997,7.516557,7.554009,7.618644,7.501414,7.51382,7.983218,7.356066,7.537258,7.305593,7.474127,7.158625,7.466569,7.289932,7.529471,7.538418,7.582544,7.53343,7.446032,7.445342,7.125214,8.064641,7.765112,8.358507,9.321523
"polB",9.025106,8.510916,8.380934,9.065158,8.74991,8.695627,9.336028,9.033137,8.651692,8.31218,8.410695,8.497578,8.358033,8.41889,8.497178,8.087157,8.338912,8.467649,8.766854,8.934264,8.984207,8.847457,8.692803,8.6844,8.820926,8.697359,8.766801,8.813735,8.433204,8.532971,8.573543,8.521077,8.293963,8.54504,8.05638,7.751382
"rnt",11.835187,11.869449,11.741444,11.737907,11.806678,11.799781,11.708552,11.459613,11.546253,11.347531,11.219569,11.222557,11.342497,11.418985,11.177281,11.229146,11.288354,11.203684,11.845493,11.865465,11.799089,11.870581,11.709659,11.793547,11.762794,11.565821,11.605034,11.521864,11.480608,11.599184,11.660459,11.763486,11.570196,11.493458,11.325334,10.956474
